ticker,first_seen_date,last_seen_date,seen_count,last_labels,last_filing_url
ACFN,2025-11-06,2025-11-06,3,dilution_bank,https://www.sec.gov/Archives/edgar/data/880984/0001493152-25-020998.txt
ACTU,2025-11-28,2025-11-28,10,convert_financing|dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1652935/0001683168-25-008730.txt
ACU,2026-01-22,2026-01-22,2,dilution_bank,https://www.sec.gov/Archives/edgar/data/2098/0001193125-26-019610.txt
ACXP,2026-02-02,2026-02-11,9,convert_financing|dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1736243/0001104659-26-013390.txt
ADGM,2025-12-16,2025-12-16,29,convert_financing,https://www.sec.gov/Archives/edgar/data/2006986/0001104659-25-121623.txt
ADTX,2026-01-30,2026-02-13,13,convert_financing|dilution_bank,https://www.sec.gov/Archives/edgar/data/1726711/0001213900-26-016565.txt
ADVB,2026-02-02,2026-02-02,5,dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1941029/0001213900-26-010809.txt
AEI,2026-02-06,2026-02-06,3,convert_financing|dilution_bank,https://www.sec.gov/Archives/edgar/data/1750106/0001493152-26-005416.txt
AEMD,2026-01-27,2026-02-12,16,dilution_bank,https://www.sec.gov/Archives/edgar/data/882291/0001683168-26-000959.txt
AGH,2025-09-12,2025-09-12,2,dilution_bank,https://www.sec.gov/Archives/edgar/data/2009312/0001493152-25-013129.txt
AGIG,2026-01-14,2026-01-14,7,convert_financing|dilution_bank,https://www.sec.gov/Archives/edgar/data/1156041/0001493152-26-002252.txt
AGMH,2026-01-14,2026-01-14,2,convert_financing|dilution_bank|pipe_financing,https://www.sec.gov/Archives/edgar/data/1705402/0001185185-26-000151.txt
AIHS,2026-01-07,2026-01-07,13,convert_financing|dilution_bank,https://www.sec.gov/Archives/edgar/data/1711012/0001213900-26-002216.txt
